text,claim
"Yes, you would.
Wait, how dare I answer for you?  Sure, I can answer for myself, I have been in them many times, from several different teams.  But I've also watched other people in them, and seen the results of research at Stanford testing how people react to them.
And the research shows people are amazingly trusting of them.   One might even say disturbingly trusting, since all the vehicles today are prototypes which are not rated safe enough to be sold to ""civilians.""   People trust them more than the engineers building them would trust them, more than they should.   In the Stanford research, they made a fake self-driving car which was actually being driven by the ""observer"" in the back seat with hidden controls.   They simulated the vehicle having a system failure and needing immediate take-over.  Even after the failure, subjects were happy to push the button to re-engage when told to by the observer, and they would pick up their newspaper and read again.
So while yes, you may personally believe you would not get in one, and might even be right about yourself, the reality is huge numbers of people are ready to trust the vehicles, and a few positive experiences make them even more willing.  And that's before they are actually ready, and are always operated with safety drivers ready to handle any problem.     In truth, even people who say they would not be willing to trust it seem often to change their minds, so you might even be wrong about yourself when you say you would not ride it.
Would you get into a self-driving elevator?  Some day people will think this question is similar to that.","Yes, you would.
the research shows people are amazingly trusting of them
So while yes, you may personally believe you would not get in one, and might even be right about yourself"
"Its a no brainer for the following reasons:
I can make use of the time I spend driving. I spend almost 2 hrs a day driving back and forth from work, or just picking up people. So i can basically send my car to airport to pick up friends or family, the car can drop me to work and go back home or pickup kids.I am a bad driver, been into a few fender benders and my insurance is expected to get sky-high. No driving means I don't have to worry about insurance, even license for that instance. I cannot get a ticket or DUI problem. I don't have to worry about falling asleep on the wheel when I am driving late in the night or making a road trip. I can do what I want. Finding parking is a pain in the cities. Especially when I am running late for the meetings, I spend at least 20 min finding parking spots and then walking all the way back to the office. At the least, I can take calls, attend meetings or even watch movies while driving.
Initially the investment might be big, but the ROI is pretty awesome and worth it.
Only problem will exist when I am running late to work and there is a traffic problem, however if everyone is driving a robotics car, i hope there would be no accidents to cause delays.","Its a no brainer for the following reasons
Only problem will exist when I am running late to work and there is a traffic problem"
"You already do. It is called ""taxi"".
Yes, taxi self-driving uses a human component. That component can be  good, or mad, drunk or outright violent. However, it looks like everyone is using taxis, and so are you.
Self-driving cars without human component should be more consistent, so on day 2 or 3 of availability you will get in without thinking.","You already do. It is called ""taxi"""
"I already have. However, I did have the luxury of building most of it myself, and writing all the control and planning algorithms.
When a startup uses its own product they call it 'dogfooding'. When a Ph.D. student takes a ride in his own robotic vehicle, they tend to call it 'gross breach of operational health and safety regulations'.","I already have
I did have the luxury of building most of it myself, and writing all the control and planning algorithms"
"I would. However, I admit that, since I don't offer a proper explanation, some here would classify me as a zealot. They would not be wrong. In order to reach a non-emotional answer it might help to ask a different question: ""Would you put your child in a self-driving car?"". Or, ""if you had the choice of driving your mother to the airport personally, or putting her in a self-driving car, which would you chose?""
Here's my answer: watch the insurance rates. If/when the insurance on a self-driving car is less that the insurance for you, personally, driving then the self-driving car becomes the logical choice.
I expect that to happen.","I would. However, I admit that, since I don't offer a proper explanation, some here would classify me as a zealot."
"Absolutely.
I've been following along with the Google Cars news for quite a while now, and am anxiously awaiting the day they're available on the market.",Absolutely.
"This is not something I want to be an early adopter with.
I don’t trust them.
I have seen how the electronics industry is constantly awash in unpredicted failures and collapses with every major upgrade or added function. Software companies rarely see people die due to limited ability to control secondary consequences. Self-driving cars with AI programs are another story.I know that the lifetime of mechanical auto parts, the problems of proper manufacture and improper installation, and the assembly of complex machines like automobiles, makes unpredicted failures of all cars’ mechanical parts inevitable. The electronics can’t eliminate this.I know that many parts have variable lifetimes and are subject to road hazards, including tires and brakes. This won’t change.Humans are adaptable and daily react to noises, sights, smells and other stimuli. Computers won’t recognize these warnings, and vehicle failures will occur, causing increases in accidents (at least for some time).The environment outside the vehicle, and sudden intrusions upon the roads, will never be 100% predictable, or foreseen and neutralized by programmers. You can’t change this. Improving predictions by computers will take time, trial and error.
I know better than to trust these systems, and I know they will be buggy at the beginning and with every change.
Here’s the problem. It doesn’t matter whether I trust them if they are widely adopted.
It may be that it will become apparent that a similar vehicle to the other self-driving ones will rapidly become safer to ride in than to buck the trend and depend on human choices that surprise the artificial reasoning.
There will be no escape, and it’s almost here.
Boy, will there be some human disasters of unprecedented fury, numbers, terror and carnage you and I will (if lucky) get to hear about in the news.",I don’t trust them
"A properly working one that can drive well? Yeah, I would.
Tell this then where to go, and then take a nap while it gets there.
It is like having your personal driver at all times.
—edit—
If you look up death statistics in car crashes and breakdown of the reasons. Typical reasons are: Distracted driving, driving under influence, speeding, running red lights, reckless driving.
A machine won’t every do any of it. It won’t get distracted, get drunk, etc. And it won’t ever get tired. Also, it will be your own personal driver in a box.
So, in the long term self-driving car will be a safer choice.","A properly working one that can drive well? Yeah, I would.
It is like having your personal driver at all times"
"Yes, and I fly in airplanes that fly themselves. We’ve trusted autopilot for decades and it has become more sophisticated over time. I would absolutely buy a car that drives itself. It is and will be even safer as the number of them increase.
When the next generation of vehicle to vehicle communications happens so that the control unit has knowledge of what is happening in the vehicles around it, we will wonder how we ever trusted ourselves on the road.",I would absolutely buy a car that drives itself
"I plan to buy one as soon as the price gets in the range of the regular models.
I doubt that will happen in my lifetime, but you never know.
At one time I said I would never own a vehicle with power windows and now I have two. I wish I didn’t but it has become nearly impossible to find anything else.",you never know
"yes. maybe a slow drive at first just to be sure, but I'm confident about this technological future. Also, it would really free up both hands to flip off other drivers and throw things from the windows. ahhhh progress.",I'm confident about this technological future
"I'd consider it, definitely not straight away though - will wait a few years until everything is 100% safe and secure.
I'm interested in the other projects happening with driverless cars at the moment, such as the Sartre project (http://www.askaprice.com/research/news-analysis/sartre-throws-down-self-drive-gauntlet-to-google-18639.aspx). Google ain't the only cat who can play this game!","I'd consider it, definitely not straight away though - will wait a few years until everything is 100% safe and secure"
"I would love to have a robotic driver!! Hopefully by next year I will have the chance to drive in a self driving car. A group of my friends and I are starting a self driving car endeavor we are hosting a meetup on May 30th, if anyone here is interested in helping me completely my dream that would be amazing! I have provided the meet up link below in case you were interested.
Link: Self Driving Vehicle",I would love to have a robotic driver!! Hopefully by next year I will have the chance to drive in a self driving car
"NOI like control.I like vintage motorcycles,Vespas, and sports cars.If there is no stick shift and tachometer, it is not a real car.I drive in places like Brazil and Italy where traffic laws are interpreted liberally.
Using this system I have never been in an accident.The last time I took a taxi I rejected the first one in line.
I find driving fun.A self-driving car is no fun.","NOI like control
I find driving fun"
"Q: Do you want a car to drive for you?
A: Most of the time, hell yes! There is no pleasure driving in urban traffic. There is no pleasure in sitting in a traffic jam on I95, or jammed on the beltway around Baltimore or Washington DC. Where is the joy trying to jiggle forward to get to the Lincoln Tunnel to NYC.
And when I need to drive from Philly to Boston, there is no pleasure in it. Just cruising along at 75, with traffic all around, on constant lookout for any bad situation is stressful and tiring, not fun.
Now if you give me a chance to drive on a winding road on the way to Santa Cruz, or Half Moon Bay, then driving is real fun.
All in all, I’ll let the car drive 95% of the time, and maybe take the wheel the other 5%.",There is no pleasure driving in urban traffic
"Would you buy a car that drives itself?
No, because I have no desire to go into taxi business, and a personal self-driving car is a huge waste of money — it sits 90% of time when it could be doing something useful, like ferrying passengers.
Would I ride in a car that drives itself? Absolutely. I hate driving, and can’t wait to never have to do it again.
[Edit] Since writing this answer, my wife and I got a Tesla. I use the self-driving mode whenever I can. (It will not switch on in a city.)","Absolutely. I hate driving, and can’t wait to never have to do it again."
