text,claim
"Bitcoin is pretty useless. But so is gold.
Gold's value comes from its BRAND and scarcity. That brand has taken thousands of years to build.
However, the world is changing fast - one could argue that gold served a physical world well, we now live in a more digital one. The world does move on - I mean, horses were THE mode of transport for THOUSANDS of years - and that ended pretty abruptly.
Now, here's the thing, Bitcoin has gone past a hurdle most of us never thought it would - investment banks are advising their clients to buy it, institutions are buying it, HNW investors are dumping gold and going for it.
This is massive. This is BRAND.
Forget Bitcoin's intrinsic use, no-one ever cared about gold's either, but as more sophisticated investors buy into Bitcoin, which will spur on others, it will entrench itself as digital gold.
Bitcoin survived the crash of 2018, it'll keep surviving every crash for years to come, each time stronger, each time picking up investors that get comfortable with it. It's no currency and will unlikely ever become one, but it is digital gold - a digital store of wealth built on its BRAND, like most stores of wealth.
The total value of all Bitcoins in existence is a paradigm shift away from significantly exceed that of gold's, i.e. US$500k a Bitcoin and staying there for a sustained period.
That paradigm shift seems to be happening.","Bitcoin is pretty useless. But so is gold.
Forget Bitcoin's intrinsic use, no-one ever cared about gold's either, but as more sophisticated investors buy into Bitcoin, which will spur on others, it will entrench itself as digital gold"
"It’s not too late to invest. Though cryptocurrencies are getting more volatile. Means you should only invest with companies with professional traders and a guaranteed level of return.
I can tell you about a platform getting a lot of positive reviews and I’ve been making use of them overtime under the Gold investment plan and this has resulted in me getting 50% return on my investment each time.
They deal with several cryptocurrencies, check them out at cryptoassetsbay.tech. They also have other investment plans such as the Silver investment plan that delivers 10% ROI and the Platinum plan that delivers 35% ROI all after a period of 15 business days.",It’s not too late to invest
"Ahh Bitcoin. Buying one in 2010 at 0.08$ a coin would now make you 14000$ a coin for every coin that you bought. Which means if you invested 100$ into Bitcoins in 2010 they would be worth a whopping 17.5 million dollars today.
Are bitcoins the future? Or are they going to crash and burn?
Instead of telling you to invest in it or not, what I’m going to do is outline some facts about bitcoin as an investment and tell you about what happened with bubbles in the past. And then you can decide.
Flashback no. 1
The Dot com bubble, 2000
Fueled by the rise of companies with a “.com” after their name, the “.com” bubble saw the price of the NASDAQ jump from 1000 to 5000 over 5 years. This was a 500% increase and was fueled by purely speculative investments.
Fundamentals were thrown away. People were rushing to buy any internet based company, ignoring the fact that these companies wouldn’t be making any money for the next few years. Money was cheap. Funding was easy. A bubble was formed.
And like all bubbles, it burst in 2001. Companies that had a market capitalization of hundreds of millions were now worth 0. The stock market rapidly declined. Trillions of dollars of investors money was lost.
Flashback no. 2
The housing bubble, 2006/2007
After the recession the “.com” bubble caused, interest rates started to drop. Investors abandoned the stock market and turned to real estate. Lending requirements all but vanished. Housing prices started to go up. Speculators entered the market and made tens of thousands of dollars in weeks. A bubble was formed.
What is the definition of a “bubble” in finance?","Yes, Bitcoin has its pros"
"Yes, Bitcoin has its pros. It’s unregulated. Decentralized. Operates on Blockchain technology. But it’s also unregulated(see what I did there?). Has no intrinsic value. And it’s highly volatile.
Look, I might even be wrong. There are people that have forecasted the price of Bitcoin to hit 100,000$ a coin in ten years.
But I’m going to stay out of it. Warren Buffett has warned against it. Jamie Dimon has warned against it. Alan Greenspan compared it to gambling in Las Vegas.
If you must invest in it, remember the golden rule of investing - Never invest more than what you’re willing to lose. If you absolutely must, no more than 10% of your portfolio must be invested in risky assets.
Like the famous economist Paul Samuelson once said, “Investing should be like watching paint dry and watching grass grow. If you want excitement, take 100$ and go to Vegas”.
EDIT: I seem to have gotten a lot of backlash for this answer. Guys, I understand were you all are coming from and I agree, 100%. Blockchain IS revolutionary. Cryptos are well designed to be the future of payments, and Blockchain is definitely not going away. But, this itself is not a reason to buy Bitcoin!
This has happened in the past as well with Airline industries and tech industries. Yes, some of them have done well, exceedingly well. But that’s because they were good companies, with solid fundamentals and a good management team! It has nothing to do with the fact that they were “the future”.
This answer is ONLY about whether you should make an investment in Bitcoin or not. Blockchain is an exceedingly innovative and futuristic technology, no doubt about that.","If you must invest in it, remember the golden rule of investing - Never invest more than what you’re willing to lose
If you absolutely must, no more than 10% of your portfolio must be invested in risky assets
Yes, Bitcoin has its pros"
"Venture capitalists have poured tons of money into the Bitcoin ecosystem. Different services and apps enabling the end user are now available for the non-technical consumers. As more products are build and used in the bitcoin ecosystem, the adoption rate for Bitcoins will increase and its demand with it. This mean you can easily turn a few hundred dollars into a few thousand dollars with enough increase in demands.
Through a global transaction network, bitcoins can be sent securely across borders, in any amount, at low costs, as seamlessly as a text message, and without the need for trusted third-parties. Over 100,000 merchants worldwide now accept bitcoin. The number of active wallet addresses on the Bitcoin network continues to grow – a key sign of a vibrant and growing financial ecosystem – while the methods for sending, receiving, and storing bitcoins continue to improve at both the consumer and institutional levels.
The bitcoin protocol provides the most secure system to make online payments and with so many payment processing system creating products for the end user, bitcoins are definitely one of the most secure options to proceed online payments.
Definitely Bitcoin is a very good investment option as profit is guaranteed and for better risk management, investing with Tigriscryptoinvestments.tech can maximize profits as I have gained significantly since I started investing with them.","Venture capitalists have poured tons of money into the Bitcoin ecosystem
Through a global transaction network, bitcoins can be sent securely across borders, in any amount, at low costs, as seamlessly as a text message, and without the need for trusted third-parties"
"It is unwise not to invest in Bitcoin.
I am not a believer in cryptocurrencies. While I am excited with the prospects of blockchain technology, I think cryptocurrencies that we have today should still belong to laboratory instead of being unleashed to free market. One of the proof cryptocurrencies are not ready yet, is the extremely fluctuating value that solely driven by “demand” and “potential”, instead of real-world implementation.
It is almost certainly in a bubble.
However, let us be frank. Any profitable investment is a good investment.
The value of bitcoin seven years ago was $0.05 and last month it reached $5,000 which means 100,000 times increase in seven years. How does that sound?
Let’s sweep aside any rational arguments : put 1% of your wealth in bitcoins.
If you enter the market earlier, you can “play with house’s money” like I did.
I bought 10 bitcoins two years ago for $350 each. I sold half of it when it reached $2,500 few months back, made $9,000 profit and my money back already. I still possess 5 bitcoins on my wallet but I am already playing with house’s money. If bitcoin price increase in the future reaching $100,000 then I will have $500,000 cash in my disposal. If bitcoin crashes and burns, I don’t care because I already made a lot of profit in the past. I have nothing to lose.
Bitcoin is a very risky investment but also very profitable.
My advice? Again, put 1% of your wealth in bitcoins.","It is unwise not to invest in Bitcoin.
It is almost certainly in a bubble.
go for it"
"Even if you can only afford 2 bitcoins with 1% of your wealth, go for it. If bitcoin crashes, who cares? You still have 99% of your wealth. If it soars and goes to the moon then you will have something to talk about with your friends in a pub.","It is unwise not to invest in Bitcoin.
It is almost certainly in a bubble.
go for it"
"The cryptocurrency market has been growing at an exponential pace and making a number of people very rich. But is it all about making money?
The technology underlying cryptocurrencies – called Blockchain technology – has the potential to change our lives for the better. What does the crypto world have in store for you?
One reasons why you should get on board and invest in cryptocurrencies.
COINBURROW: With coinburrow you can invest in Cryptocurrency Miners { Bitcoin, Etheruem, Litecoin & DashCoin }
Cloud mining involves purchasing time on Coinburrow's rig.
Coinburrow charge you based on what’s called a hash rate—basically, your processing power. If you purchase a higher hash rate, you are expected to receive more coins for what you pay for, you can set up to earn daily..
Also they have Bitcoin perpetual algorithm.. That helps you trade future contacts and can sustain earnings for upto 2 years, earning are daily
[1]
Footnotes
[1] Cloud Mining I Crypto Investment",The cryptocurrency market has been growing at an exponential pace and making a number of people very rich
"We continue to feel strong about Bitcoin being the leading indicator for cryptocurrencies. It should be used to determine the trend: up, down, neutral. This is one of the more actionable cryptocurrency predictions for 2019.
However, Bitcoin is not likely the cryptocurrency that will deliver 10-fold returns similar to the previous 7 years.
The underlying reason is that Bitcoin futures will cap the upside potential because, for the first time since Bitcoin’s inception, there is two-sided trading in the Bitcoin market.
That’s why forecasters believe that it is very realistic to expect a Bitcoin price of $25,000 as an upside target, assuming the crypto crash is over. Previous all-time highs will be taken out, but we believe Bitcoin will trade within its ‘bullish band’, not higher.
This doesn’t mean you should not invest in bitcoin. Instead, let experts handle your investment.
I have used cryptostats.trade a couple of times in the past weeks and they have delivered 2times my investment as returns.","We continue to feel strong about Bitcoin being the leading indicator for cryptocurrencies
It should be used to determine the trend: up, down, neutral
This doesn’t mean you should not invest in bitcoin. Instead, let experts handle your investment."
"I would say YES! Bitcoin has been a good thing for me and lots of people i am sure. Same way it has been the down fall of so many who dont know who and where to start with it.
i started with @david_boyes on telegram and its been my ever green testimony",I would say YES! Bitcoin has been a good thing for me and lots of people i am sure
"Let’s start with what bitcoin is?
Bitcoin is a digital currency created in January 2009 following the housing market crash. It follows the ideas set out in a whitepaper by the mysterious and pseudonymous Satoshi Nakamoto.
The identity of the person or persons who created the technology is still a mystery. Bitcoin offers the promise of lower transaction fees than traditional online payment mechanisms and is operated by a decentralized authority, unlike government-issued currencies.
There are no physical bitcoins, only balances kept on a public ledger that everyone has transparent access to, that – along with all Bitcoin transactions – is verified by a massive amount of computing power. Bitcoins are not issued or backed by any banks or governments, nor are individual bitcoins valuable as a commodity. Despite it not being legal tender, Bitcoin charts high on popularity, and has triggered the launch of hundreds of other virtual currencies collectively referred to as Ripple. Etc.
Bitcoin is powered by a technology called a blockchain. To understand Bitcoin, you must understand a little bit about the technology in order to make a wise choice for your investment strategy.
A blockchain is a public database that shows all transactions, with user privacy protected by “cryptography”.
There are many types of blockchains, and many types of coins.
Since Bitcoin was created, there have been hundreds of more coins brought to the market, many of which are cheaper, faster, and more efficient.
For example, Litecoin processes at 56 transactions per second. Newer faster blockchains like EOS can process hundreds of thousands of transactions per second.
In terms of utility, Bitcoin only processes 7 transactions per second.
So you may be wondering, why is the price of Bitcoin so high?
But other coins like Litecoin and Bitcoin Cash are catching up.
Bitcoins Are Scarce",Bitcoin’s monetary policy is one of its most important features.
"Bitcoin’s monetary policy is one of its most important features. It’s possible to see when new bitcoins are created, when a transaction is created, or how many bitcoins are in circulation.
Bitcoins can be sent from anywhere in the world to anywhere else in the world. No bank can block payments or close your account. Bitcoin is censorship resistant money.
Bitcoin makes cross border payments possible, and also provides an easy way for people to escape failed government monetary policy.
The internet made information global and easy to access. A sound, global currency like Bitcoin will have the same impact on finance and the global economy.
If you understand the potential impact of Bitcoin, it won’t be hard to understand why investing in bitcoin may be a good idea.
Bitcoin’s Price
There is no official Bitcoin price. Bitcoin’s price is set by whatever people are willing to pay. Buy Bitcoin Worldwide’s is a good resource for the current and historical price.
Bitcoin’s price is generally shown as the cost of one bitcoin. However, exchanges will let you buy any amount, and you can buy less than one bitcoin.
Lower inflation risk. Unlike world currencies — which are regulated by their governments — bitcoin is immune to inflation. The blockchain system is infinite and there’s no need to worry about your cryptos losing their value.
New opportunities. Bitcoin and cryptocurrency trading is relatively young — new coins are becoming mainstream on a daily basis. This newness brings unpredictable swings in price and volatility, which may create opportunities for massive gains.","If you understand the potential impact of Bitcoin, it won’t be hard to understand why investing in bitcoin may be a good idea
There is no official Bitcoin price
But bitcoin trading is minimalistic
Bitcoin’s monetary policy is one of its most important features."
"Minimalistic trading. Stock trading requires you to hold a certificate or license. You must also go through a broker to trade a company’s shares. But bitcoin trading is minimalistic: simply buy or sell bitcoin from exchanges and place them in your wallet. Bitcoin transactions are also instant — unlike the settlement of stock trading orders, which could take days or weeks.
Disadvantages of Bitcoin Investments
Bitcoin may be the future of monetary exchange, but it is equally important that you are aware of the concerns surrounding cryptocurrency investing. Here are some serious risks associated with bitcoin investments.","But bitcoin trading is minimalistic
Here are some serious risks associated with bitcoin investments."
"Yes, you should. I have been investing in crypto for a while now, seems to have a similar pattern every time and don't look at the market very often now. Bitcoin is a decentralized digital currency and I would say that to successfully earn off cryptocurrency, it’s all about timing, studying the market if you decide to self trade, but luckily for me, I use Cryptoblock Invest and this platform manages all possible risks with their various Trading and Hodling programs. CBI got me covered everytime and you can use the google search engine “Cryptoblockinvest” to get more info about the platform. HIGHLY RECOMMENDED","Yes, you should.
to successfully earn off cryptocurrency, it’s all about timing, studying the market if you decide to self trade"
"The simple answer is Yes. It took me a lot of studying and mentoring before getting to where I am now. The fact is that not everyone is willing to sacrifice their time and money, especially when they don’t get instant gratification.
Here’s some advice “ Don’t think or act like the average person except you want average results” Investing in bitcoin is the fastest way to attain great wealth when you invest with a legit paying platform like (www.bitflash.eu). They guarantee profits both weekly and monthly. It would be advisable to start with the smallest mining plan especially if you are a beginner and you are scared of the risk involved. For those that have been trading with legitimate platforms.",The simple answer is Yes.
"This question has become universal with more and more people thinking about it. There are many supporters of Bitcoin who believe that digital currency is the future; like any other asset, the principle of buying low and selling high also applies to Bitcoin. The most popular way to receive funds is through buying through a Bitcoin exchange but there are more ways than just that. Bitcoin is currently at its peak when it comes to value, so if you’re wondering should you invest in Bitcoin, the answer is yes. Considering Bitcoin’s current value, you can easily profit from investment. If you have some cash to spare, investing in some cryptocurrency is not a bad idea. You have to learn some ground rules though, such as don’t invest more money than you can afford to lose and choose your investments wisely.","if you’re wondering should you invest in Bitcoin, the answer is yes
If you have some cash to spare, investing in some cryptocurrency is not a bad idea"
"It is savvy to contribute just what you can lose. Cryto currency is an extremely high-hazard venture, and CFDs bought on margin are significantly more hazardous.
Cryto-currency esteems don't move with the economic cycle as they are incredibly unpredictable. They go all over with media inclusion and financial specialist hypothesis.
The significant thing is to do your own research and comprehend the dangers. While numerous celebrated individuals on the web may reveal to you various stories, smart investors consistently encourage to never chance more cash than you can stand to lose.
Regardless of whether you figure Bitcoin will rise or fall, Vest Coin Hub has been a consistent changing experience. Google it.
Hope this helps.","Cryto currency is an extremely high-hazard venture, and CFDs bought on margin are significantly more hazardous.
The significant thing is to do your own research and comprehend the dangers"
"The “too late” mindset will ruin your investing
psychology and your potential to make enough money to enjoy your life.
Bitcoin has gone mainstream. There are some people who hate me for it.
I’m getting quite a few people all asking me the same question: “Is it too late to invest in bitcoin?”
I don’t think it is. Bitcoin is a paradigm shift in a world that is high on worthless currency printed in excess. The only way to fund our excessive lifestyles is to increase the global debt and pay for it with money printed out of thin air.
My approach to bitcoin is different. It’s a little less drastic. I’ve been playing with it for years and have become fascinated by it. The rewards for me understanding bitcoin are now over 17,900%+ on the initial investment.
I don’t think I’ve ever made another investment like it. It’s likely I will never make another investment like it for the rest of my life. There may never be another investment like it.
The unfortunate psychological challenge when you buy something that performs beyond your wildest dreams is you think to yourself, “I should have bought more.” You can always want more and spend more. But it doesn’t matter. Money has never made me happy. The same is likely true for you.
So how do you manage your psychology when bitcoin mania is sweeping the world and it has gone mainstream? How do you cope when it’s trending on twitter, on the front page of every newspaper, being promoted by some of the biggest wall street tycoons in the world, like Paul Tudor Jones?
First, you stay calm.
You’re never late to anything in life. You’re right on time.
Bitcoin is extremely weird",Bitcoin is extremely weird
