,text,premise
45,"I got the idea about ""being around negative thinking will affect you negatively"" from the book ""Directional Thinking"" by Benjamin Chapin.","I got the idea about ""being around negative thinking will affect you negatively"" from the book ""Directional Thinking"" by Benjamin Chapin."
19,"Right, but did the inventor of nativity scenes think it would ""look cooler"" because it portrays Joseph as a stereotypical Jewish cheapskate? Why change things from the biblical version of events?","the inventor of nativity scenes think it would ""look cooler"" because it portrays Joseph as a stereotypical Jewish cheapskate?
Why change things from the biblical version of events?"
24,"Actually, most commentators think they didn't show up for a year or two.
Also, ""inn"" is arguably a poor translation.
It wasn't a hotel that didn't have room for them.
It was that extended family didn't have a guest room for Joseph's family (perhaps because of the scandalous nature of Mary's pregnancy?).
Them being stuck in a barn has nothing to do with Joseph being cheap and everything to do with his family having poor hospitality.","It wasn't a hotel that didn't have room for them
It was that extended family didn't have a guest room for Joseph's family
perhaps because of the scandalous nature of Mary's pregnancy?"
6,"∆

You're right. I forgot that one of the main diagnostic criteria for almost any mental disorder is the impact it has on the persons well-being, and
if someone is generally in a better state identifying as an otherkin, then there would be no real need to treat them, unless they started disrupting the lives of others.",I forgot that one of the main diagnostic criteria for almost any mental disorder is the impact it has on the persons well-being
38,"Bah.
How many tons of food, water, and blankets did firefighters haul into the Sandy disaster zone?
Way less than my folk.
Does that make us public servants?
Nope.
We all just do our jobs.","How many tons of food, water, and blankets did firefighters haul into the Sandy disaster zone?
Way less than my folk.
Does that make us public servants?"
80,The fact I don't fear an Amish flying a plane into my office tower or a Jain blowing up my bus makes me doubt that religions have no inherent features that influence people's actions., The fact I don't fear an Amish flying a plane into my office tower or a Jain blowing up my bus makes me doubt that religions have no inherent features that influence people's actions. 
23,"I suppose I was taking a harsh stance when I assumed that religion had no effect on behavior , when  it obviously does . 

 I still think the culture dominates religion to a great extent , however I cannot ignore that religion does have an effect on culture to some extent.

∆

I do however, look forward to seeing if someone can convince me that culture is dominated by religion more than vise versa.", I suppose I was taking a harsh stance when I assumed that religion had no effect on behavior 
18,"Matthew 2:11

""And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him and when they had opened their treasures, they presented unto him gifts; gold, and frankincense and myrrh.""

When the wise men visited Jesus, it was in a house.
The Nativity scene is about the visit of the shepherds, but the wise men are drawn into the manger scene early because it looks cooler that way.","Matthew 2:11
When the wise men visited Jesus, it was in a house
it looks cooler that way"
78,"Okay, but even if religion did motivate people to kill, it doesn't provide the means to kill, only the motivation.  
 However, assuming that a gun provides the motivation, it also provides the tool to kill someone with. 

That being said,  I'm not convinced that either motivates people to kill, and one gives the tools to kill with and the other doesn't . 
 This analogy falls short for me."," However, assuming that a gun provides the motivation, it also provides the tool to kill someone with. "
72,"well... yeah.
My comment was a silly way to point out a flaw in your post.
It wasn't an actual argument.","My comment was a silly way to point out a flaw in your post.
It wasn't an actual argument."
31,"> You don't care about animals, so you're content with paying for them to be abused for your pleasure.

What about ""I care about animals, but see it as a necessary evil for my sustenance.""

I feel the same way about animals in medical research. I feel terrible for the animals, but it's necessary for the health of humans and a better option than researching on humans.","What about ""I care about animals, but see it as a necessary evil for my sustenance.""
I feel terrible for the animals
it's necessary for the health of humans and a better option than researching on humans"
53,"I confused patriotism, which is the love of one's country, with nationalism, which is the idea that one's country is better than other countries.
What you said is definitely true about patriots, but I misused patriots to mean nationalist.","What you said is definitely true about patriots
I misused patriots to mean nationalist"
27,"I personally don't see any distinction between my pet dog and a chicken.
If I had to take my cat to be euthanised at the vet, I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.
Probably not even a bolt to the brain either.

I agree that synthetic meat would be absolutely amazing though!",I had to take my cat to be euthanised at the vet
63,"I think this isn't ALWAYS true.
Some people aren't changed by others that easily.
And I think your argument applies only to boards like /b/ or /pol/.
If you go on 4chan right now to the /wg/ board (wallpapers) or the /vr/ board, almost everyone there is nice.
They are the boards to people with dedication and interests, though.","Some people aren't changed by others that easily.
If you go on 4chan right now to the /wg/ board (wallpapers) or the /vr/ board, almost everyone there is nice"
46,"I certainly agree with your points - I didn't mean to imply that I was only for **some** freedom of speech. 
I just think lately there's been a lot of antagonistic material being published and everyone cries freedom of speech when certain groups get upset.

Why can't America be the bigger person and say ""Ok, we won't publish certain types of material, not because we're afraid of you but because we respect your views.""
Is that so hard?","Why can't America be the bigger person and say ""Ok, we won't publish certain types of material, not because we're afraid of you but because we respect your views."""
81,"The Amish and the Vedic religions in general haven't been demonized to the same extent as Muslims have.  
 I'm far morel likely in general to be killed by a Christian than a Muslim  , but  that doesn't mean I should fear Christians. 

 So, if you're measuring by fear people feel, you're more likely to find the source of that in the mainstream media than you will in religion.  
 Look at how scared everyone got over Ebola, a non issue for most westerners."," I'm far morel likely in general to be killed by a Christian than a Muslim 
 So, if you're measuring by fear people feel, you're more likely to find the source of that in the mainstream media than you will in religion. 
 Look at how scared everyone got over Ebola, a non issue for most westerners. "
26,"Option 3.1415926: I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered, and once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.","once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead."
29,"How does a chicken ""want"" anything?
It is completely incapable of developing a though like, ""Today would REALLY suck if that damn fox bites me again"".

Yes, intelligence matters.
If not, we wouldn't allow brain-dead people to be unplugged.
Self-awareness puts one in a separate category than an animal.
But, regardless, I'm not trying to convince you not to care about animals, but that a rational person could come to the decision that those without higher cognition or self-awareness aren't equal.","How does a chicken ""want"" anything?
If not, we wouldn't allow brain-dead people to be unplugged."
25,"A lot (dunno %) vegetarians/vegans see killing animals for food is fundamentally unethical.
So they are not doing it for better state of animal welfare in farms.
I personally don't have a problem with animals being killed humanely, so if I become vegetarian it would be about welfare.
But that's me.
But I agree with you that becoming vegetarian just for that is not very helpful for welfare.
I just see people's reasoning.","I personally don't have a problem with animals being killed humanely,
if I become vegetarian it would be about welfare"
43,"No I'm not claiming this.  
Please read again my original post, this time trying to understand it.
 Distinguish between decreasing and stopping, owning and responsibly owning, laws and culture..."," Distinguish between decreasing and stopping, owning and responsibly owning, laws and culture... "
41,"War for oil sustains our economy.
Not sure where you got your idea of communism, but ok.","War for oil sustains our economy.
Not sure where you got your idea of communism"
76,"> Someone going vegan and someone becoming an ~~ethical~~ *slightly less unethical* carnivore reduce demand for factory-farmed meat by exactly the same amount (1 person). The ~~ethical~~ *slightly less unethical* carnivore just happens to also increase demand for responsibly-grown meat.

I fixed your statement.
Someone who eats ""happy"" meat isn't helping animals.
They are simply supporting farms that are somewhat less cruel.",They are simply supporting farms that are somewhat less cruel.
3,"It wouldn't be a fine, since it would only be a suspension of ""assistance"" anyway.
And poverty is a formidable obstacle but many, many people come from poverty to be wildly successful.
That cannot be a blanket excuse for poor academic performance.
I believe the fulcrum of a child's development has always been, and will always be the parent(a living, mentally capable set of or just one parent).","since it would only be a suspension of ""assistance"" anyway
And poverty is a formidable obstacle but many, many people come from poverty to be wildly successful."
73,"Something like this will take decades or centuries and won't be applied evenly across the entire planet.
I don't see how it's possible society couldn't adapt as the inevitability of a laborless civilization grows.",I don't see how it's possible society couldn't adapt as the inevitability of a laborless civilization grows.
40,"I’m not sure how sacrificing rights makes them more deserving of such discounts.
After all, rewarding people for suffering rather than production is what the commies do[!]","After all, rewarding people for suffering rather than production is what the commies do[!]"
70,"According to the theory of evolution it makes more sense that the egg preceded the chicken.
Before the chicken there was a similar but different creature.
Let's call it X. Its completely arbitrary when the X officially evolved into a chicken, but at some point it does.
An X, not a chicken lays the first chicken egg.
The chicken egg comes before any creature considered a chicken exist.
Am I wrong?

PS I'm playing laser tag soon so I will respond in 20ish minutes.","According to the theory of evolution it makes more sense that the egg preceded the chicken
Before the chicken there was a similar but different creature.
Let's call it X.
Its completely arbitrary when the X officially evolved into a chicken
at some point it does
An X, not a chicken lays the first chicken egg."
20,"Although it's highly unlikely that there would be a long period without conflict, I can see how something similar could happen.
However, it's not like the previous generation's knowledge would have disappeared there are thousands of guides and essays about every topic.",there are thousands of guides and essays about every topic
